00BB23F0    BnetParty::sLockStatusChange_SetPrivacyLevelCallback
008630C0    GetGameCommonGameFlag
00ACE410    Window::SetRenderStateAlphaBlendEnableSrcBlendDestBlendBordercolor0x80StipplePattern010x80
00BD86B0    Platform_sub_B8DC20
00FC60C0    Platform::APICleanup_RemoteLock
00FC60E0    Platform::APICleanup_Identity
00B3A900    BuyoutDialog::Show
00FDC300    CDebug::OutputDebugString2
00FDD300    CDebug::OutputDebugString3
00C4DC60    Blizzard::File::ProcessDirFast
00953730    SoundPlatform::Update
00C4C750    Blizzard::Time::GetTimeElapsed
00C4DB40    Blizzard::File::Move
00B1ACE0    BnetService_sub_B3D510
00A40EB0    j_GetBnetService
00828AF0    std::_Iterator_base_secure::_Has_container
0093E850    UnkHeroStructInHeroStruct_sub_93D330
00A3BF00    InitUnk48BytesStruct
00ACDF30    Window::SetRenderStateRangeFogEnableFillModeFlushBatchWrapuAnisotropyTexturePerspective
00A3D4A0    InitUnk568BytesStruct
00A69040    InitUnk392BytesStruct
00ACD8F0    Window_sub_AFFEB0
00BC5F40    InitializeUnkBnetService2880BytesStruct
00ACFD00    Window_sub_B02240
00B3A1B0    UnkBnetService76BytesStruct_sub_B56820
00F2C280    std::ios_base::ios_base
00F25CF0    std::ios_base::ios_base
00F2AB50    std::ios_base::ios_base
00F2AAD0    std::ios_base::ios_base
00F25C70    std::ios_base::ios_base
00E965C0    std::ios_base::ios_base
00EED540    std::ios_base::ios_base
00EFCA20    std::ios_base::ios_base
00F1AE80    std::ios_base::ios_base
00F1AEA0    std::ios_base::ios_base
00A7D520    Concurrency::details::UMSSchedulerProxy::GetCompletionList
00C4F0D0    Blizzard::File::IsDirectory
00B71F60    Hero_sub_B864C0
00BDA310    InitializeUnkBnetService76BytesStruct
00B9B280    BnetGames::BnetGames
00D47930    SNOFilesInitialize
00BB6230    Hero_sub_BCBD80
00AFC150    Concurrency::details::SchedulerBase::IsUMSScheduler
00D4A3A0    OutputDebugString
00EB92A0    std::locale::facet::facet
00BAC210    InitializeUnkBnetService2456BytesStruct
00B5D2A0    UIAuctionHouseSearchContent::OnOpen
008E0DE0    Agent::AsyncStatusCheck::Impl::HttpCallback::GetVerb
00BB28A0    BnetParty::CancelLeaveGameWithMyPartyFailure
00BB2970    BnetParty::CancelSearchForPublicGameFailure
00D46940    System_SFile::BitPacked::BitPacked
00BD84F0    Platform::Platform
00BB1590    Hero_sub_BC77C0
00BD6BD0    Platform::DestroyInterfaceEx
00ACAE30    Window::GetDisplayModeEx
00B4E900    UIAuctionHouseCompletedContent::OnClose
00F40830    std::codecvt_base::do_always_noconv
00EB8AD0    std::locale::facet::facet
00995320    Hero::Hero
0092BA00    BnetService::Nullsub2
00D3DED0    AllocateMemory
00E9DD60    std::_Container_base::_Container_base
00EB8A30    std::_Iterator_base::_Iterator_base
00F35880    std::_Iterator_base::_Iterator_base
00A669E0    InitUnk1784BytesStruct
00ACFCA0    Window_sub_B021E0
00BF5530    Sandbox::Start
00E30320    Concurrency::details::_TaskCollection::_IsStaleAlias
00A69DC0    BnetService_sub_A6BAE0
0083F160    Concurrency::details::SchedulerNode::GetNumMigratableCores
00E23B20    DNameNode::DNameNode
00CE72D0    Blizzard::Streaming::BasicQueue::Implementation::NextRequest
00A6CC00    BnetService::InvokeLeftGameSession_OnLeaveGame
00CA5870    GetExeName
0092B9F0    BnetService::VFunction13
00A69E60    Platform_sub_A6BB70
00B54C10    UIAuctionHouseBiddingContent::OnClose
00B71860    Hero_sub_B85DC0
00BD7DF0    Platform_sub_B8D360
0093F800    UnkHeroStructInHeroStruct_sub_93E2E0
00A7E510    Concurrency::details::ExternalContextBase::GetPhysicalContext
00D4B860    TerminateProcessEx
00C573E0    ThreadSleep
00EB7670    streambuf::egptr
00EB9AE0    streambuf::egptr
00F4E910    streambuf::egptr
00EED590    streambuf::egptr
00EB6F10    streambuf::egptr
00BD3410    GetBnetService
00DFB890    Concurrency::details::_ReaderWriterLock::_ReaderWriterLock
00FDB800    Platform_sub_FBAA90
00C4F100    Blizzard::File::IsFile
0093AA90    UnkHeroStructInHeroStructInHeroUnkStructInUnkHeroStruct_sub_939570
00EB9790    std::locale::facet::facet
00EB8B00    std::locale::facet::facet
0087B250    Concurrency::details::SchedulerProxy::GetNumBorrowedCores
00B5D550    Blizzard::Util::BitField::Clear
00EA3FB0    ios::fill
00B38370    GameSession::ConnectToGameServer
00D3DF50    GamesListener_sub_D23F50
00B581B0    UIAuctionHouseSellingContent::OnClose
00BB2670    BnetParty::PartyMemberAdded_AutoJoinGame_KickMemberFailure
00BB25A0    BnetParty::sCallback_PartyJoined_AutoJoinOrLeaveGame_LeavePartyFailure
00B50730    Concurrency::details::UMSSchedulerProxy::GetCompletionListEvent
00B5DD30    Hero_sub_B77220
00BD99D0    Settings::OnWriteGameAccountSettings
00BD98B0    Settings::OnWriteToonSettings
00EB8B30    std::locale::facet::facet
00EB9530    std::locale::facet::facet
00875E90    Win95IsDebuggerPresent
00E65F40    Win95IsDebuggerPresent
00BD8F30    Platform_sub_B8E4A0
00F82BC0    ios::width
00F7CE20    ios::width
00EB6CC0    ios::width
00F4E9D0    ios::width
00EA4030    ios::width
00B5DDD0    Hero_sub_B772C0
009E0700    Hero_sub_9EADB0
0093F2A0    UnkHeroStructInHeroStruct_sub_93DD80
00AD3E50    UnkHeroStruct_sub_AD4860
00ACD110    Window::CloseEx
